"Angestelltenrenten aus der gesetzlichen Rentenversicherung";"0031 110"
"Angestelltenversicherung, freiwillige Beiträge";"1622 800"
"Angestelltenversicherung, Pflichtbeiträge";"1621 800"
"Anhänger aus Edelmetall, echten Perlen, Edel- oder Schmucksteinen, Schmuck";"1321 112"
"Anhänger aus unedlem Metall, Kunststoff, Glas u.ä., Schmuck";"1321 111"
"Anhänger für Fahrräder";"0721 308"
"Anhänger für Kraftfahrzeuge (ohne Mobilheime, Campinganhänger und Seitenwagen für Krafträder)";"0912 103"
"Anhängerkupplungen, Einbau an Kraftfahrzeugen";"0723 021"
"Anis, Gewürze";"0119 402"
"Anisplätzchen";"0111 352"
"Anlagegüter des eigenen Unternehmens, Verkauf für private Zwecke";"0062 000"
"Anlegen von Gärten";"0444 106"
"Anleihen, öffentlich, Kauf";"1685 100"
"Anleihen, öffentlich, Verkauf";"0071 410"
"Anliegerbeiträge, Hausbau";"1661 000"
"Anliegerbeiträge";"1661 000"
"Anmachholz";"0454 200"
"Anmeldegebühren für Kraftfahrzeuge";"0724 321"
"Annoncen";"1390 906"
"Anoraks für Damen";"0312 216"
"Anoraks für Herren";"0312 117"
"Anoraks für Jungen (ohne Strickjacken, Skijacken und Spezialsportbekleidung)";"0312 182"
"Anoraks für Mädchen (ohne Strickjacken, Skijacken und Spezialsportbekleidung)";"0312 292"
"Anoraks für Säuglinge";"0312 308"
"Anrichten, Wohnzimmerschränke";"0511 114"
"Anrufbeantworter, Kauf";"0811 009"
"Anrufbeantwortern, Reparaturen an";"0835 001"
"Anrufbeantwortungseinrichtungen, die in einen PC eingebaut werden";"0819 201"
"Anschaffungskredite, Aufnahme";"0085"
"Anschaffungskredite, Tilgung (ohne Tilgung von zinslosen Raten- und Konsumentenkrediten";"1652 200"
"Anschaffungskredite, Tilgung von zinslosen Raten- und Konsumentenkrediten";"1652 300"
"Anschaffungskredite, Verzinsung im Rahmen eines Dispositionskredites";"1653 510"
"Anschaffungskredite, Verzinsung von Raten- und Konsumentenkrediten";"1652 500"
"Anschlussgebühren für Telefaxgeräte im Festnetz";"0831 001"
"Anschlussgebühren für Telefone im Festnetz";"0831 001"
